source_id,source,latitude,longitude,event_date,spatial_block_id
2248,NASA_GLC,26.222,94.9152,2010-08-14,block_52_189
2422,NASA_GLC,23.74182634,92.7141905,2010-09-13,block_47_185
7214,NASA_GLC,27.36,93.0385,2015-07-15,block_54_186
1929,NASA_GLC,27.3543,88.6428,2010-05-31,block_54_177
7390,NASA_GLC,24.4265,94.1913,2015-08-01,block_48_188
7384,NASA_GLC,23.9278,94.0906,2015-08-01,block_47_188
4383,NASA_GLC,25.3056,93.1265,2012-06-03,block_50_186
6283,NASA_GLC,26.1314,91.7548,2014-09-22,block_52_183
2573,NASA_GLC,25.1796,93.0083,2010-10-09,block_50_186
9604,NASA_GLC,27.2676,88.2891,2016-10-12,block_54_176
7665,NASA_GLC,24.7016,93.5291,2015-08-11,block_49_187
1994,NASA_GLC,25.0633,92.8025,2010-06-16,block_50_185
692,NASA_GLC,25.705,94.04,2008-08-07,block_51_188
259,NASA_GLC,25.52,91.27,2007-09-11,block_51_182
251,NASA_GLC,27.1667,88.35,2007-09-09,block_54_176
5485,NASA_GLC,27.6047,88.6463,2013-09-08,block_55_177
9010,NASA_GLC,27.3034,93.804,2016-07-16,block_54_187
9965,NASA_GLC,26.324724,94.514651,2016-09-05,block_52_189
3943,NASA_GLC,27.13862165,88.22551799,2011-08-23,block_54_176
7369,NASA_GLC,24.1988,94.1016,2015-08-01,block_48_188
9252,NASA_GLC,27.5748,91.8644,2016-07-28,block_55_183
7728,NASA_GLC,26.1028,91.8806,2015-08-22,block_52_183
5274,NASA_GLC,26.0838,94.564,2013-08-04,block_52_189
11175,NASA_GLC,27.82743132,93.62407259,2017-05-03,block_55_187
11158,NASA_GLC,25.69111465,94.09483333,2017-07-12,block_51_188
11604,NASA_GLC,23.40991836,93.36421745,1970-01-01,block_46_186
10960,NASA_GLC,23.725943,92.7178,2016-09-17,block_47_185
11157,NASA_GLC,25.73111942,93.98827528,2017-07-09,block_51_187
3776,NASA_GLC,27.125,93.7145,2011-07-15,block_54_187
4378,NASA_GLC,28.8254,96.1517,2012-06-02,block_57_192
6289,NASA_GLC,26.1001,91.6849,2014-09-22,block_52_183
11177,NASA_GLC,27.583849,91.876945,2017-07-11,block_55_183
10978,NASA_GLC,25.132228,93.04681,2017-04-04,block_50_186
10961,NASA_GLC,24.0135808,92.67420963,2017-04-25,block_48_185
11156,NASA_GLC,25.73318099,93.99655231,2017-05-16,block_51_187
11161,NASA_GLC,26.66354481,94.62220277,2017-06-24,block_53_189
731,NASA_GLC,26.138,94.25,2008-08-19,block_52_188
7590,NASA_GLC,25.1416,92.3807,2015-08-19,block_50_184
8237,NASA_GLC,27.0136,92.6351,2016-07-01,block_54_185
6286,NASA_GLC,26.1044,91.7082,2014-09-22,block_52_183
7266,NASA_GLC,25.5098,93.8794,2015-07-22,block_51_187
580,NASA_GLC,24.6596,93.9784,2008-06-09,block_49_187
585,NASA_GLC,27.0998,93.6287,2008-06-14,block_54_187
7655,NASA_GLC,27.5799,91.8569,2016-04-22,block_55_183
9464,NASA_GLC,27.5754,91.9754,2016-08-05,block_55_183
1613,NASA_GLC,27.8997,93.3497,2010-04-02,block_55_186
2282,NASA_GLC,26.1984,94.8158,2010-08-19,block_52_189
2567,NASA_GLC,25.6633,94.4703,2010-10-08,block_51_188
6285,NASA_GLC,26.159,91.8178,2014-09-22,block_52_183
10005,NASA_GLC,26.10973183,91.80317334,2017-07-06,block_52_183
1756,NASA_GLC,27.322,88.6087,2010-04-17,block_54_177
4436,NASA_GLC,26.9986,95.4993,2012-06-25,block_53_190
7910,NASA_GLC,24.3481,94.1146,2015-08-01,block_48_188
1776,NASA_GLC,25.3612,92.2845,2010-04-21,block_50_184
252,NASA_GLC,25.4993,94.1192,2007-09-09,block_50_188
211,NASA_GLC,24.9667,93.55,2007-08-26,block_49_187
7375,NASA_GLC,25.1941,94.4481,2015-08-01,block_50_188
3932,NASA_GLC,25.83,94.13,2011-08-18,block_51_188
3831,NASA_GLC,24.7992,93.948,2011-07-22,block_49_187
6213,NASA_GLC,25.8143,90.5763,2014-09-24,block_51_181
9998,NASA_GLC,27.98531715,94.21263589,2017-07-04,block_55_188
9931,NASA_GLC,25.06657276,93.9310888,2017-06-30,block_50_187
1112,NASA_GLC,27.1761,88.5287,2009-08-20,block_54_177
5431,NASA_GLC,24.9829,93.5063,2013-09-01,block_49_187
3672,NASA_GLC,25.5125,93.3613,2011-06-29,block_51_186
3997,NASA_GLC,27.5161,88.5575,2011-09-30,block_55_177
1108,NASA_GLC,24.9925,93.5,2009-08-20,block_49_187
1935,NASA_GLC,23.8986,91.7599,2010-06-03,block_47_183
11501,NASA_GLC,23.79260297,91.53090192,2018-05-20,block_47_183
3916,NASA_GLC,25.7713,93.8067,2011-08-13,block_51_187
8222,NASA_GLC,26.1961,91.7825,2016-06-22,block_52_183
4241,NASA_GLC,25.1604,93.6795,2012-03-04,block_50_187
1930,NASA_GLC,28.4298,95.8776,2010-05-31,block_56_191
2163,NASA_GLC,25.4196,94.1054,2010-07-29,block_50_188
1934,NASA_GLC,24.6005,92.3814,2010-06-03,block_49_184
545,NASA_GLC,24.9849,92.8411,2008-05-20,block_49_185
7727,NASA_GLC,25.6263,94.1057,2015-08-20,block_51_188
7778,NASA_GLC,23.8447,93.0514,2015-08-26,block_47_186
