source,source_id,source_ref,latitude,longitude,state,district,location_description,landslide_type,trigger,event_date,temporal_precision,fatalities,injuries,location_accuracy,original_record_reference,valid_coordinates,valid_date,duplicate_source_id,duplicate_coordinates
NASA_GLC,11405,1539300,26.07821691,94.72071068,Nagaland,,"Chessore, Tuensang, Nagaland",landslide,continuous_rain,2018-05-12,day,0,0,1km,Nagaland Post,TRUE,TRUE,FALSE,FALSE
NASA_GLC,11443,1539308,27.23279809,88.59292517,Sikkim,,"Road from Pakyong to Dikling and Rorathang, Pakyong, Sikkim, India",mudslide,downpour,2018-05-26,day,0,0,1km,The Northeast Today,TRUE,TRUE,FALSE,FALSE
NASA_GLC,10962,1539334,23.65637182,93.02746602,Mizoram,,"Aizawl-Champhai road, Champhai, Mizoram State, India",landslide,continuous_rain,2017-06-17,day,0,0,5km,Zoram Observer,TRUE,TRUE,FALSE,FALSE
NASA_GLC,11171,1539350,27.104022,93.61156568,Arunachal Pradesh,,"Senki View, Itanagar, Papum Pare, Arunachal Pradesh, India",landslide,continuous_rain,2017-04-26,day,0,0,1km,Hindustan Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,11178,1539353,26.96437841,92.78260587,Assam,,"Bhalukpong, Assam",landslide,monsoon,2017-06-18,day,0,0,10km,Eastern Mirror,TRUE,TRUE,FALSE,FALSE
NASA_GLC,1111,1538301,27.1344,88.4575,Sikkim,,"Melli Chalisey, Sikkim",landslide,downpour,2009-08-20,day,0,0,5km,beacononline.wordpress,TRUE,TRUE,FALSE,FALSE
NASA_GLC,4570,1538310,27.8458,95.2253,Arunachal Pradesh,,Â Arunachal PradeshÂ,landslide,downpour,2012-09-19,day,0,0,1km,articles.timesofindia,TRUE,TRUE,FALSE,FALSE
NASA_GLC,5269,1538345,25.8376,94.5234,Nagaland,,"Tizu, Nagaland",landslide,continuous_rain,2013-08-04,day,0,0,unknown,www.nagalandpost.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,1127,1538388,25.1718,93.123,Assam,,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),landslide,downpour,2009-08-27,day,0,0,10km,prokerala,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2112,1538389,27.5509,88.6475,Sikkim,,"Zang(?), east Sikkim",landslide,downpour,2010-07-21,day,0,0,unknown,himalnews.wordpress,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9750,1538454,25.15246863,92.94670614,Assam,,Dima Hasao district,landslide,continuous_rain,2017-06-04,day,0,0,50km,NELive,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2344,1538499,24.7505,93.4221,Manipur,,"NH-53 at Nungba police station, Kambirong(?), Manipur",landslide,downpour,2010-08-27,day,0,0,5km,e-pao,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9338,1538541,24.4638,92.4943,Assam,,"Sonachirra, Karimganj district, Assam, India",landslide,continuous_rain,2016-05-18,day,5,0,10km,Indian Express,TRUE,TRUE,FALSE,FALSE
NASA_GLC,6016,1538551,24.8669,92.3576,Assam,,"Satgarakul Village, Karimganj, Assam State",landslide,rain,2014-05-09,day,7,0,1km,Sciency Thoughts,TRUE,TRUE,FALSE,FALSE
NASA_GLC,869,1538560,27.2333,94.1167,Assam,,North Lakhimpur,landslide,downpour,2008-10-29,day,0,0,50km,rttnews,TRUE,TRUE,FALSE,FALSE
NASA_GLC,3830,1538570,24.3527,94.3429,Manipur,,Manipur,landslide,downpour,2011-07-22,day,0,0,10km,e-pao.net,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9335,1538599,24.5202,92.7239,Assam,,"Bilaipur, Hailakandi district, Assam, India",landslide,continuous_rain,2016-05-18,day,2,0,1km,Indian Express,TRUE,TRUE,FALSE,FALSE
NASA_GLC,260,1538636,27.2084,88.4909,Sikkim,,"National Highway 31A, between Singtam and Rangpo",debris_flow,rain,2007-09-11,day,0,0,5km,thestatesman.net,TRUE,TRUE,FALSE,FALSE
